,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
878,201409280clt,1,1,4,2014,24,7.5,,,0.9845729999999999,,,1,0.9845729999999999
879,201411300htx,1,1,13,2014,24,6.5,0.7029144,0.6709016999999999,0.7320312,0.7907,0.53664565,1,0.68663859
880,201411160was,-1,-1,11,2014,-20,6.5,,,,0.8307072,1.0342168999999999,0,0.9324620499999999
881,201412140car,-1,1,15,2014,2,3.0,0.59333843,,,0.60963875,0.43240783,1,0.5451283366666667
882,201411230chi,1,1,12,2014,8,4.0,,0.5875640999999999,0.49569064,0.571677,,1,0.5516439133333333
883,201412070det,1,1,14,2014,17,10.0,,,0.9218723,0.98859847,0.87056005,1,0.9270102733333333
884,201409280pit,-1,-1,4,2014,-3,7.5,0.7019108000000001,,,0.61612064,0.6313149,0,0.6497821133333334
885,201409180atl,1,1,3,2014,42,7.0,,0.97622037,0.7329489,0.9124465,0.9451446,1,0.8916900925
886,201410050nor,-1,1,5,2014,6,11.0,,0.89980596,0.6815207,,0.679992,1,0.7537728866666668
887,201411020cle,-1,1,9,2014,5,7.0,,,1.1112666000000002,0.7708633,,1,0.9410649500000001
888,201510040was,1,1,4,2015,3,3.0,,,0.41972655,0.5246871999999999,0.30362856,1,0.4160141033333333
889,201510250car,1,1,7,2015,11,3.0,,0.92651117,,0.69069433,0.84164214,1,0.8196158800000001
890,201511260det,1,1,12,2015,31,3.0,,-0.24803239,,0.5287275,0.49486452,1,0.2585198766666667
891,201512060nwe,-1,-1,13,2015,-7,9.5,0.9989594,,0.8872353000000001,,,0,0.9430973500000001
893,201509270nyj,-1,-1,3,2015,-7,3.0,,0.5073966,0.8820584,,,0,0.6947274999999999
894,201601030nyg,-1,-1,17,2015,-5,3.5,0.66396844,,,,0.6318219,0,0.64789517
895,201511080dal,-1,-1,9,2015,-6,3.0,0.28023082,,0.26890272,,,0,0.27456676999999996
896,201511150was,1,1,10,2015,33,2.0,,0.12711838,0.6357749,,0.54336584,1,0.4354197066666667
897,201509270car,-1,1,3,2015,5,9.5,0.94531685,,,0.92653424,0.8970126,1,0.9229545633333333
898,201509130crd,1,1,1,2015,12,2.0,0.72856027,0.7349041999999999,,0.60280514,,1,0.6887565366666667
899,201512130tam,-1,-1,14,2015,-7,6.0,,,0.23848519,,0.5777094,0,0.408097295
900,201510110phi,1,1,5,2015,22,6.5,,,,0.5657508000000001,0.76292235,1,0.6643365750000001
901,201601030atl,-1,-1,17,2015,-3,6.0,0.478205,0.7837592,0.5245101,0.7762991,,0,0.64069335
904,201512200was,1,1,15,2015,10,2.5,0.08803034,0.35033533,0.54723626,0.05932188,0.54810447,1,0.318605656
905,201512130phi,1,1,14,2015,3,1.0,0.0027925371999999995,0.5078431999999999,0.039239973,0.33034813,0.48166937,1,0.27237864203999995
906,201511290kan,1,1,12,2015,8,4.5,0.89786243,0.5141346,,,0.8490584000000001,1,0.7536851433333333
907,201509270mia,-1,-1,3,2015,-27,1.0,0.42720878,0.5102869999999999,,,,0,0.46874788999999994
908,201511120nyj,-1,-1,10,2015,-5,2.5,,0.69867873,,0.5868173000000001,0.5510363,0,0.6121774433333333
909,201510110oti,-1,-1,5,2015,-1,0.0,,0.70984036,,,,0,0.70984036
910,201601100was,-1,-1,18,2015,-17,1.5,0.6969827,0.8202934000000001,0.58630425,,0.54475033,0,0.66208267
911,201511080car,1,1,9,2015,8,2.0,,0.4177995,0.66243833,,,1,0.540118915
912,201509130chi,-1,-1,1,2015,-8,6.0,,,0.35786417,0.3179437,,0,0.337903935
913,201512270crd,1,1,16,2015,30,6.0,0.7270576999999999,0.90227324,0.69250506,,0.855584,1,0.794355
914,201601160crd,-1,1,19,2015,6,7.0,,0.63453454,,,0.74202776,1,0.68828115
915,201512030det,-1,-1,13,2015,-4,2.5,0.56374544,,,0.5251735,0.41471260000000004,0,0.5012105133333334
916,201511220min,-1,-1,11,2015,-17,1.0,,,0.5067363,0.764731,0.60067713,0,0.6240481433333334
917,201511010den,1,1,8,2015,19,2.5,,0.6567682,0.47905526,,0.30724716,1,0.48102354
918,201512200rai,-1,-1,15,2015,-10,4.0,,0.27119613,0.4018075,,,0,0.336501815
919,201510040sfo,-1,-1,4,2015,-14,7.0,0.5105286,,,,,0,0.5105286
1016,201112110cin,-1,-1,14,2011,-1,2.5,0.36928004,,,,,0,0.36928004
1017,201110230oti,-1,-1,7,2011,-34,2.5,0.48196143,,0.46193242,0.5852816999999999,0.5092899999999999,0,0.5096163874999999
1018,201110160rav,1,1,6,2011,15,7.0,,,0.7478057,,,1,0.7478057
1019,201201150rav,-1,1,19,2011,7,8.0,0.60714513,0.93282264,0.9390743,0.4459345,0.8991195,1,0.764819214
1020,201111130tam,-1,-1,10,2011,-28,3.5,0.5826640999999999,0.37574065,,,,0,0.47920237499999996
1021,201112220clt,1,1,16,2011,3,7.0,0.025550365,0.34664190000000006,0.107492805,,0.18785822,1,0.1668858225
1022,201111270jax,-1,-1,12,2011,-7,6.0,,,,-0.005639553,,0,-0.005639553
1023,201109180mia,-1,-1,2,2011,-10,3.0,,0.40651372,0.6319035,,,0,0.51920861
1024,201109250nor,1,1,3,2011,7,4.0,0.82936317,,0.34357792,,0.85589486,1,0.6762786500000001
1025,201212300pit,1,1,17,2012,14,10.0,,0.7167306,,0.6970470999999999,,1,0.7068888499999999
1026,201209270rav,-1,1,4,2012,7,11.5,0.8228994000000001,,,0.87318325,,1,0.8480413250000001
1027,201210210clt,1,1,7,2012,4,1.0,0.3121258,0.7044691999999999,,,,1,0.5082975
1028,201211180dal,-1,1,11,2012,3,7.0,0.53006506,,,0.6959735,0.56092244,1,0.5956536666666667
1029,201210070nyg,1,1,5,2012,14,8.0,,0.8835478000000001,0.7680403,,0.9710833000000001,1,0.8742238000000001
1030,201212230den,1,1,16,2012,22,11.0,0.76700425,0.8804091999999999,,,,1,0.823706725
1031,201212020rai,-1,-1,13,2012,-3,2.5,0.43879473,,,0.69047946,0.35105312,0,0.4934424366666667
1032,201309220cin,1,1,3,2013,4,3.0,0.34383228,,,,0.19228217,1,0.268057225
1033,201312290chi,-1,-1,17,2013,-5,3.0,,0.32562053,0.40387246,0.39282979999999995,,0,0.37410759666666665
1034,201311280det,1,1,13,2013,30,6.5,0.33338374,0.47632155,,0.46419865,0.50152683,1,0.44385769249999996
1035,201310270min,-1,-1,8,2013,-13,7.0,,,,,0.32668304,0,0.32668304
1036,201309080sfo,1,1,1,2013,6,5.0,0.96710765,,,,,1,0.96710765
1037,201311170nyg,1,1,11,2013,14,3.0,0.37404364,,,0.4076134,,1,0.39082852
1038,201312150dal,-1,-1,15,2013,-1,4.5,0.6839161,0.38018262,0.08441192,,,0,0.38283688
1039,201410260cin,1,1,8,2014,3,3.0,,,0.41326246,,0.9669821,1,0.69012228
